k E
0.2751 -3.7317
0.2810 -3.6970
0.2870 -3.6851
0.2943 -3.7029
0.3015 -3.7546
0.3088 -3.8354
0.3161 -3.9391
0.3234 -4.0593
0.3306 -4.1902
0.3379 -4.3270
0.3452 -4.4656
0.3525 -4.6029
0.3598 -4.7361
0.3670 -4.8631
0.3743 -4.8942
0.3816 -4.8993
0.3889 -4.9050
0.3962 -4.9108
0.4034 -4.9164
0.4107 -4.9210
0.4180 -4.9251
0.4253 -4.9273
0.4326 -4.9278
0.4385 -4.9273
0.4444 -4.9261
0.4504 -4.9234
0.4563 -4.9201
0.4623 -4.9161
0.4682 -4.9118
0.4742 -4.9075
0.4801 -4.9029
0.4860 -4.8991
0.4920 -4.8957
0.4979 -4.8930
0.5039 -4.8119
0.5098 -4.7251
0.5158 -4.6414
0.5217 -4.5633
0.5277 -4.4937
0.5336 -4.4356
0.5395 -4.3916
0.5455 -4.3641
0.5514 -4.3547

0.0000 -0.7898
0.0042 -0.7893
0.0084 -0.7877
0.0126 -0.7852
0.0168 -0.7816
0.0210 -0.7772
0.0252 -0.7721
0.0294 -0.7662
0.0336 -0.7598
0.0378 -0.7530
0.0420 -0.7459
0.0462 -0.7388
0.0504 -0.7318
0.0546 -0.7250
0.0588 -0.7187
0.0630 -0.7130
0.0672 -0.7082
0.0714 -0.7042
0.0756 -0.7013
0.0799 -0.6995
0.0841 -0.6989
0.0883 -0.6982
0.0925 -0.6959
0.0967 -0.6922
0.1009 -0.6871
0.1051 -0.6807
0.1093 -0.6731
0.1135 -0.6645
0.1177 -0.6551
0.1219 -0.6450
0.1261 -0.6345
0.1303 -0.6238
0.1345 -0.6133
0.1387 -0.6030
0.1429 -0.5934
0.1471 -0.5848
0.1513 -0.5773
0.1555 -0.5712
0.1597 -0.5666
0.1639 -0.5639
0.1681 -0.5629
0.1740 -0.5648
0.1800 -0.5703
0.1859 -0.5792
0.1919 -0.5910
0.1978 -0.6052
0.2038 -0.6213
0.2097 -0.6387
0.2157 -0.6567
0.2216 -0.6748
0.2275 -0.6926
0.2335 -0.7096
0.2394 -0.7255
0.2454 -0.7399
0.2513 -0.7528
0.2573 -0.7639
0.2632 -0.7732
0.2691 -0.7804
0.2751 -0.7856
0.2810 -0.7888
0.2870 -0.7898
0.2943 -0.7813
0.3015 -0.7560
0.3088 -0.7140
0.3161 -0.6557
0.3234 -0.5816
0.3306 -0.4925
0.3379 -0.3892
0.3452 -0.2728
0.3525 -0.1448
0.3598 -0.0070
0.3670 0.1383
0.3743 0.2876
0.3816 0.4355
0.3889 0.5662
0.3962 0.5833
0.4034 0.5970
0.4107 0.6081
0.4180 0.6164
0.4253 0.6216
0.4326 0.6234
0.4385 0.6220
0.4444 0.6179
0.4504 0.6115
0.4563 0.6037
0.4623 0.5951
0.4682 0.5869
0.4742 0.5009
0.4801 0.3532
0.4860 0.2072
0.4920 0.0658
0.4979 -0.0682
0.5039 -0.1928
0.5098 -0.3062
0.5158 -0.4072
0.5217 -0.4944
0.5277 -0.5671
0.5336 -0.6243
0.5395 -0.6656
0.5455 -0.6906
0.5514 -0.6989

0.0000 -0.7898
0.0042 -0.7893
0.0084 -0.7877
0.0126 -0.7852
0.0168 -0.7816
0.0210 -0.7772
0.0252 -0.7721
0.0294 -0.7662
0.0336 -0.7598
0.0378 -0.7530
0.0420 -0.7459
0.0462 -0.7388
0.0504 -0.7318
0.0546 -0.7250
0.0588 -0.7187
0.0630 -0.7130
0.0672 -0.7082
0.0714 -0.7042
0.0756 -0.7013
0.0799 -0.6995
0.0841 -0.6989
0.0883 -0.6885
0.0925 -0.6574
0.0967 -0.6067
0.1009 -0.5377
0.1051 -0.4523
0.1093 -0.3526
0.1135 -0.2411
0.1177 -0.1204
0.1219 0.0068
0.1261 0.1374
0.1303 0.2684
0.1345 0.3965
0.1387 0.5115
0.1429 0.4967
0.1471 0.4838
0.1513 0.4730
0.1555 0.4644
0.1597 0.4581
0.1639 0.4543
0.1681 0.4531
0.1740 0.4556
0.1800 0.4628
0.1859 0.4739
0.1919 0.4869
0.1978 0.4982
0.2038 0.4733
0.2097 0.3380
0.2157 0.2007
0.2216 0.0646
0.2275 -0.0674
0.2335 -0.1930
0.2394 -0.3102
0.2454 -0.4172
0.2513 -0.5127
0.2573 -0.5954
0.2632 -0.6644
0.2691 -0.7188
0.2751 -0.7581
0.2810 -0.7819
0.2870 -0.7898
0.2943 -0.7813
0.3015 -0.7560
0.3088 -0.7140
0.3161 -0.6557
0.3234 -0.5816
0.3306 -0.4925
0.3379 -0.3892
0.3452 -0.2728
0.3525 -0.1448
0.3598 -0.0070
0.3670 0.1383
0.3743 0.2876
0.3816 0.4355
0.3889 0.5692
0.3962 0.6474
0.4034 0.6549
0.4107 0.6441
0.4180 0.6332
0.4253 0.6259
0.4326 0.6234
0.4385 0.6248
0.4444 0.6292
0.4504 0.6364
0.4563 0.6466
0.4623 0.6596
0.4682 0.6462
0.4742 0.5800
0.4801 0.5500
0.4860 0.4425
0.4920 0.3133
0.4979 0.1727
0.5039 0.0279
0.5098 -0.1151
0.5158 -0.2515
0.5217 -0.3765
0.5277 -0.4860
0.5336 -0.5761
0.5395 -0.6433
0.5455 -0.6849
0.5514 -0.6989

0.0000 -0.7898
0.0042 -0.7781
0.0084 -0.7433
0.0126 -0.6868
0.0168 -0.6108
0.0210 -0.5178
0.0252 -0.4108
0.0294 -0.2931
0.0336 -0.1682
0.0378 -0.0398
0.0420 0.0878
0.0462 0.2100
0.0504 0.3223
0.0546 0.4204
0.0588 0.5015
0.0630 0.5649
0.0672 0.6118
0.0714 0.6446
0.0756 0.6660
0.0799 0.6779
0.0841 0.6818
0.0883 0.6804
0.0925 0.6764
0.0967 0.6697
0.1009 0.6602
0.1051 0.6483
0.1093 0.6340
0.1135 0.6179
0.1177 0.6003
0.1219 0.5820
0.1261 0.5635
0.1303 0.5452
0.1345 0.5278
0.1387 0.5187
0.1429 0.6320
0.1471 0.7341
0.1513 0.8232
0.1555 0.8982
0.1597 0.9579
0.1639 0.9994
0.1681 1.0153
0.1740 0.9873
0.1800 0.9205
0.1859 0.8306
0.1919 0.7234
0.1978 0.6030
0.2038 0.5019
0.2097 0.4887
0.2157 0.4482
0.2216 0.3748
0.2275 0.2710
0.2335 0.1444
0.2394 0.0039
0.2454 -0.1421
0.2513 -0.2864
0.2573 -0.4224
0.2632 -0.5444
0.2691 -0.6468
0.2751 -0.7245
0.2810 -0.7732
0.2870 -0.7898
0.2943 -0.7684
0.3015 -0.7061
0.3088 -0.6079
0.3161 -0.4811
0.3234 -0.3334
0.3306 -0.1732
0.3379 -0.0099
0.3452 0.1459
0.3525 0.2819
0.3598 0.3883
0.3670 0.4629
0.3743 0.5117
0.3816 0.5438
0.3889 0.5692
0.3962 0.6474
0.4034 0.6549
0.4107 0.6441
0.4180 0.6332
0.4253 0.6259
0.4326 0.6234
0.4385 0.6255
0.4444 0.6317
0.4504 0.6411
0.4563 0.6518
0.4623 0.6596
0.4682 0.6553
0.4742 0.6229
0.4801 0.5752
0.4860 0.5734
0.4920 0.5749
0.4979 0.5800
0.5039 0.5887
0.5098 0.6004
0.5158 0.6145
0.5217 0.6299
0.5277 0.6455
0.5336 0.6599
0.5395 0.6715
0.5455 0.6791
0.5514 0.6818

0.0000 1.2989
0.0042 1.2982
0.0084 1.2959
0.0126 1.2923
0.0168 1.2873
0.0210 1.2811
0.0252 1.2739
0.0294 1.2659
0.0336 1.2571
0.0378 1.2469
0.0420 1.2360
0.0462 1.2249
0.0504 1.2137
0.0546 1.2029
0.0588 1.1927
0.0630 1.1834
0.0672 1.1755
0.0714 1.1690
0.0756 1.1642
0.0799 1.1613
0.0841 1.1603
0.0883 1.1376
0.0925 1.1096
0.0967 1.0843
0.1009 1.0625
0.1051 1.0445
0.1093 1.0302
0.1135 1.0195
0.1177 1.0119
0.1219 1.0071
0.1261 1.0045
0.1303 1.0036
0.1345 1.0040
0.1387 1.0053
0.1429 1.0071
0.1471 1.0090
0.1513 1.0110
0.1555 1.0128
0.1597 1.0141
0.1639 1.0150
0.1681 1.0153
0.1740 1.0121
0.1800 1.0028
0.1859 0.9878
0.1919 0.9685
0.1978 0.9467
0.2038 0.9261
0.2097 0.9127
0.2157 0.9133
0.2216 0.9310
0.2275 0.9634
0.2335 1.0057
0.2394 1.0537
0.2454 1.1035
0.2513 1.1521
0.2573 1.1965
0.2632 1.2342
0.2691 1.2634
0.2751 1.2835
0.2810 1.2951
0.2870 1.2989
0.2943 1.2944
0.3015 1.2805
0.3088 1.2566
0.3161 1.2232
0.3234 1.1818
0.3306 1.1345
0.3379 1.0834
0.3452 1.0305
0.3525 0.9777
0.3598 0.9265
0.3670 0.8784
0.3743 0.8353
0.3816 0.7999
0.3889 0.7816
0.3962 0.8165
0.4034 0.9140
0.4107 1.0148
0.4180 1.0944
0.4253 1.1443
0.4326 1.1613
0.4385 1.1444
0.4444 1.0946
0.4504 1.0146
0.4563 0.9091
0.4623 0.7841
0.4682 0.6756
0.4742 0.6946
0.4801 0.7164
0.4860 0.7412
0.4920 0.7688
0.4979 0.7992
0.5039 0.8322
0.5098 0.8679
0.5158 0.9059
0.5217 0.9461
0.5277 0.9882
0.5336 1.0321
0.5395 1.0771
0.5455 1.1228
0.5514 1.1603

0.0000 1.2989
0.0042 1.2982
0.0084 1.2962
0.0126 1.2928
0.0168 1.2881
0.0210 1.2821
0.0252 1.2749
0.0294 1.2665
0.0336 1.2571
0.0378 1.2469
0.0420 1.2360
0.0462 1.2249
0.0504 1.2137
0.0546 1.2029
0.0588 1.1927
0.0630 1.1834
0.0672 1.1755
0.0714 1.1690
0.0756 1.1642
0.0799 1.1613
0.0841 1.1603
0.0883 1.1599
0.0925 1.1586
0.0967 1.1566
0.1009 1.1539
0.1051 1.1505
0.1093 1.1465
0.1135 1.1421
0.1177 1.1373
0.1219 1.1322
0.1261 1.1271
0.1303 1.1219
0.1345 1.1169
0.1387 1.1122
0.1429 1.1078
0.1471 1.1039
0.1513 1.1006
0.1555 1.0979
0.1597 1.0960
0.1639 1.0948
0.1681 1.0944
0.1740 1.0956
0.1800 1.0991
0.1859 1.1048
0.1919 1.1127
0.1978 1.1226
0.2038 1.1343
0.2097 1.1474
0.2157 1.1619
0.2216 1.1772
0.2275 1.1931
0.2335 1.2091
0.2394 1.2250
0.2454 1.2402
0.2513 1.2543
0.2573 1.2671
0.2632 1.2781
0.2691 1.2870
0.2751 1.2936
0.2810 1.2976
0.2870 1.2989
0.2943 1.2944
0.3015 1.2805
0.3088 1.2566
0.3161 1.2232
0.3234 1.1818
0.3306 1.1345
0.3379 1.0834
0.3452 1.0305
0.3525 0.9777
0.3598 0.9265
0.3670 0.8784
0.3743 0.8353
0.3816 0.7999
0.3889 0.7816
0.3962 0.8165
0.4034 0.9140
0.4107 1.0148
0.4180 1.0944
0.4253 1.1443
0.4326 1.1613
0.4385 1.1556
0.4444 1.1384
0.4504 1.1096
0.4563 1.0696
0.4623 1.0211
0.4682 0.9717
0.4742 0.9371
0.4801 0.9305
0.4860 0.9479
0.4920 0.9795
0.4979 1.0188
0.5039 1.0620
0.5098 1.1066
0.5158 1.1506
0.5217 1.1922
0.5277 1.2150
0.5336 1.1919
0.5395 1.1747
0.5455 1.1639
0.5514 1.1603

0.0000 1.2989
0.0042 1.2982
0.0084 1.2962
0.0126 1.2928
0.0168 1.2881
0.0210 1.2821
0.0252 1.2749
0.0294 1.2665
0.0336 1.2572
0.0378 1.2482
0.0420 1.2390
0.0462 1.2299
0.0504 1.2210
0.0546 1.2127
0.0588 1.2050
0.0630 1.1982
0.0672 1.1925
0.0714 1.1878
0.0756 1.1845
0.0799 1.1824
0.0841 1.1817
0.0883 1.2068
0.0925 1.2419
0.0967 1.2790
0.1009 1.2860
0.1051 1.2757
0.1093 1.2637
0.1135 1.2501
0.1177 1.2352
0.1219 1.2194
0.1261 1.2030
0.1303 1.1865
0.1345 1.1703
0.1387 1.1547
0.1429 1.1401
0.1471 1.1270
0.1513 1.1157
0.1555 1.1066
0.1597 1.0999
0.1639 1.0958
0.1681 1.0944
0.1740 1.0968
0.1800 1.1038
0.1859 1.1153
0.1919 1.1305
0.1978 1.1490
0.2038 1.1700
0.2097 1.1928
0.2157 1.2166
0.2216 1.2407
0.2275 1.2644
0.2335 1.2873
0.2394 1.3089
0.2454 1.3131
0.2513 1.3136
0.2573 1.3122
0.2632 1.3093
0.2691 1.3057
0.2751 1.3022
0.2810 1.2998
0.2870 1.2989
0.2943 1.3014
0.3015 1.3089
0.3088 1.3213
0.3161 1.3203
0.3234 1.2907
0.3306 1.2677
0.3379 1.2592
0.3452 1.2750
0.3525 1.3265
0.3598 1.4227
0.3670 1.5206
0.3743 1.5468
0.3816 1.5748
0.3889 1.6043
0.3962 1.6349
0.4034 1.6661
0.4107 1.6966
0.4180 1.7239
0.4253 1.7434
0.4326 1.7505
0.4385 1.7448
0.4444 1.7288
0.4504 1.7057
0.4563 1.6783
0.4623 1.6485
0.4682 1.6116
0.4742 1.5698
0.4801 1.5260
0.4860 1.4813
0.4920 1.4367
0.4979 1.3931
0.5039 1.3513
0.5098 1.3119
0.5158 1.2757
0.5217 1.2432
0.5277 1.2296
0.5336 1.2610
0.5395 1.2659
0.5455 1.2194
0.5514 1.1817

0.0000 1.3978
0.0042 1.3970
0.0084 1.3949
0.0126 1.3913
0.0168 1.3866
0.0210 1.3809
0.0252 1.3745
0.0294 1.3675
0.0336 1.3602
0.0378 1.3529
0.0420 1.3456
0.0462 1.3387
0.0504 1.3322
0.0546 1.3262
0.0588 1.3208
0.0630 1.3161
0.0672 1.3122
0.0714 1.3091
0.0756 1.3069
0.0799 1.3055
0.0841 1.3050
0.0883 1.3038
0.0925 1.3002
0.0967 1.2942
0.1009 1.3005
0.1051 1.2980
0.1093 1.2948
0.1135 1.2911
0.1177 1.2867
0.1219 1.2816
0.1261 1.2757
0.1303 1.2689
0.1345 1.2610
0.1387 1.2519
0.1429 1.2412
0.1471 1.2288
0.1513 1.2143
0.1555 1.1977
0.1597 1.1796
0.1639 1.1631
0.1681 1.1555
0.1740 1.1695
0.1800 1.1953
0.1859 1.2195
0.1919 1.2394
0.1978 1.2555
0.2038 1.2685
0.2097 1.2791
0.2157 1.2881
0.2216 1.2956
0.2275 1.3019
0.2335 1.3070
0.2394 1.3109
0.2454 1.3287
0.2513 1.3464
0.2573 1.3547
0.2632 1.3626
0.2691 1.3740
0.2751 1.3858
0.2810 1.3945
0.2870 1.3978
0.2943 1.3919
0.3015 1.3752
0.3088 1.3501
0.3161 1.3383
0.3234 1.3596
0.3306 1.3848
0.3379 1.4133
0.3452 1.4447
0.3525 1.4743
0.3598 1.4963
0.3670 1.5206
0.3743 1.5468
0.3816 1.5748
0.3889 1.6043
0.3962 1.6349
0.4034 1.6661
0.4107 1.6966
0.4180 1.7239
0.4253 1.7434
0.4326 1.7505
0.4385 1.7461
0.4444 1.7331
0.4504 1.7121
0.4563 1.6840
0.4623 1.6501
0.4682 1.6173
0.4742 1.5853
0.4801 1.5530
0.4860 1.5207
0.4920 1.4889
0.4979 1.4582
0.5039 1.4292
0.5098 1.4022
0.5158 1.3777
0.5217 1.3563
0.5277 1.3383
0.5336 1.3123
0.5395 1.2849
0.5455 1.2999
0.5514 1.3050

0.0000 1.3978
0.0042 1.3970
0.0084 1.3949
0.0126 1.3913
0.0168 1.3866
0.0210 1.3809
0.0252 1.3745
0.0294 1.3675
0.0336 1.3602
0.0378 1.3529
0.0420 1.3456
0.0462 1.3387
0.0504 1.3322
0.0546 1.3262
0.0588 1.3208
0.0630 1.3161
0.0672 1.3122
0.0714 1.3091
0.0756 1.3069
0.0799 1.3055
0.0841 1.3050
0.0883 1.3048
0.0925 1.3039
0.0967 1.3025
0.1009 1.3172
0.1051 1.3560
0.1093 1.3949
0.1135 1.4335
0.1177 1.4714
0.1219 1.5082
0.1261 1.5436
0.1303 1.5772
0.1345 1.6085
0.1387 1.6373
0.1429 1.6630
0.1471 1.6855
0.1513 1.7044
0.1555 1.7194
0.1597 1.7303
0.1639 1.7369
0.1681 1.7391
0.1740 1.7348
0.1800 1.7223
0.1859 1.7033
0.1919 1.6797
0.1978 1.6532
0.2038 1.6252
0.2097 1.5965
0.2157 1.5678
0.2216 1.5398
0.2275 1.4716
0.2335 1.4159
0.2394 1.3803
0.2454 1.3606
0.2513 1.3532
0.2573 1.3617
0.2632 1.3745
0.2691 1.3846
0.2751 1.3919
0.2810 1.3963
0.2870 1.3978
0.2943 1.3975
0.3015 1.3977
0.3088 1.3997
0.3161 1.4047
0.3234 1.4128
0.3306 1.4239
0.3379 1.4380
0.3452 1.4548
0.3525 1.4743
0.3598 1.4963
0.3670 1.5486
0.3743 1.5838
0.3816 1.6177
0.3889 1.6495
0.3962 1.6783
0.4034 1.7031
0.4107 1.7234
0.4180 1.7383
0.4253 1.7475
0.4326 1.7505
0.4385 1.7490
0.4444 1.7442
0.4504 1.7363
0.4563 1.7252
0.4623 1.7108
0.4682 1.6933
0.4742 1.6726
0.4801 1.6488
0.4860 1.6218
0.4920 1.5918
0.4979 1.5589
0.5039 1.5232
0.5098 1.4850
0.5158 1.4445
0.5217 1.4020
0.5277 1.3578
0.5336 1.3239
0.5395 1.3135
0.5455 1.3072
0.5514 1.3050

0.0000 1.3978
0.0042 1.3971
0.0084 1.3951
0.0126 1.3921
0.0168 1.3885
0.0210 1.3851
0.0252 1.3825
0.0294 1.3820
0.0336 1.3849
0.0378 1.3929
0.0420 1.4082
0.0462 1.4329
0.0504 1.4693
0.0546 1.5186
0.0588 1.5802
0.0630 1.6509
0.0672 1.7248
0.0714 1.7941
0.0756 1.8510
0.0799 1.8884
0.0841 1.9014
0.0883 1.9026
0.0925 1.9064
0.0967 1.9129
0.1009 1.9221
0.1051 1.9343
0.1093 1.9500
0.1135 1.9694
0.1177 1.9931
0.1219 2.0218
0.1261 2.0562
0.1303 2.0970
0.1345 2.1449
0.1387 2.2001
0.1429 2.2619
0.1471 2.3285
0.1513 2.3964
0.1555 2.4604
0.1597 2.5137
0.1639 2.5494
0.1681 2.5620
0.1740 2.5368
0.1800 2.4648
0.1859 2.3557
0.1919 2.2213
0.1978 2.0735
0.2038 1.9234
0.2097 1.7810
0.2157 1.6547
0.2216 1.5508
0.2275 1.5129
0.2335 1.4878
0.2394 1.4650
0.2454 1.4452
0.2513 1.4290
0.2573 1.4167
0.2632 1.4082
0.2691 1.4028
0.2751 1.3997
0.2810 1.3982
0.2870 1.3978
0.2943 1.3975
0.3015 1.3977
0.3088 1.3997
0.3161 1.4047
0.3234 1.4128
0.3306 1.4239
0.3379 1.4380
0.3452 1.4548
0.3525 1.4782
0.3598 1.5131
0.3670 1.5647
0.3743 1.7444
0.3816 1.9505
0.3889 2.1722
0.3962 2.4005
0.4034 2.6263
0.4107 2.8388
0.4180 3.0219
0.4253 3.1517
0.4326 3.1997
0.4385 3.1676
0.4444 3.0804
0.4504 2.9580
0.4563 2.8195
0.4623 2.6790
0.4682 2.5462
0.4742 2.4267
0.4801 2.3233
0.4860 2.2363
0.4920 2.1647
0.4979 2.1061
0.5039 2.0583
0.5098 2.0193
0.5158 1.9874
0.5217 1.9612
0.5277 1.9400
0.5336 1.9234
0.5395 1.9113
0.5455 1.9039
0.5514 1.9014

0.0000 6.3776
0.0042 6.3837
0.0084 6.4019
0.0126 6.4319
0.0168 6.4733
0.0210 6.5256
0.0252 6.5880
0.0294 6.6594
0.0336 6.7382
0.0378 6.8216
0.0420 6.9031
0.0462 6.9583
0.0504 6.9036
0.0546 6.7330
0.0588 6.5384
0.0630 6.3516
0.0672 6.1844
0.0714 6.0446
0.0756 5.9388
0.0799 5.8728
0.0841 5.8503
0.0883 5.8475
0.0925 5.8391
0.0967 5.8253
0.1009 5.8065
0.1051 5.7832
0.1093 5.7560
0.1135 5.7255
0.1177 5.6925
0.1219 5.6579
0.1261 5.6225
0.1303 5.5871
0.1345 5.5527
0.1387 5.5201
0.1429 5.4900
0.1471 5.4632
0.1513 5.4403
0.1555 5.4219
0.1597 5.4085
0.1639 5.4003
0.1681 5.3975
0.1740 5.4221
0.1800 5.4943
0.1859 5.6106
0.1919 5.7656
0.1978 5.9531
0.2038 6.1673
0.2097 6.4024
0.2157 6.6531
0.2216 6.9144
0.2275 7.0817
0.2335 7.0963
0.2394 7.0080
0.2454 6.8903
0.2513 6.7709
0.2573 6.6601
0.2632 6.5634
0.2691 6.4843
0.2751 6.4257
0.2810 6.3897
0.2870 6.3776
0.2943 6.3958
0.3015 6.4492
0.3088 6.5348
0.3161 6.6471
0.3234 6.7786
0.3306 6.9180
0.3379 7.0463
0.3452 7.1265
0.3525 7.0983
0.3598 6.9283
0.3670 6.6364
0.3743 6.3476
0.3816 6.0672
0.3889 5.8005
0.3962 5.5534
0.4034 5.3330
0.4107 5.1472
0.4180 5.0050
0.4253 4.9151
0.4326 4.8843
0.4385 4.8909
0.4444 4.9104
0.4504 4.9421
0.4563 4.9849
0.4623 5.0373
0.4682 5.0978
0.4742 5.1645
0.4801 5.2358
0.4860 5.3097
0.4920 5.3846
0.4979 5.4588
0.5039 5.5305
0.5098 5.5982
0.5158 5.6603
0.5217 5.7155
0.5277 5.7625
0.5336 5.8002
0.5395 5.8278
0.5455 5.8446
0.5514 5.8503

0.0000 7.5395
0.0042 7.5432
0.0084 7.5541
0.0126 7.5721
0.0168 7.5970
0.0210 7.6282
0.0252 7.6651
0.0294 7.7056
0.0336 7.7419
0.0378 7.7041
0.0420 7.5195
0.0462 7.3362
0.0504 7.2658
0.0546 7.3200
0.0588 7.4095
0.0630 7.5043
0.0672 7.5944
0.0714 7.6730
0.0756 7.7343
0.0799 7.7733
0.0841 7.7867
0.0883 7.7913
0.0925 7.8050
0.0967 7.8277
0.1009 7.8593
0.1051 7.8997
0.1093 7.8715
0.1135 7.6810
0.1177 7.4744
0.1219 7.2563
0.1261 7.0309
0.1303 6.8021
0.1345 6.5741
0.1387 6.3510
0.1429 6.1375
0.1471 5.9388
0.1513 5.7608
0.1555 5.6105
0.1597 5.4953
0.1639 5.4225
0.1681 5.3975
0.1740 5.4283
0.1800 5.5172
0.1859 5.6553
0.1919 5.8313
0.1978 6.0348
0.2038 6.2563
0.2097 6.4873
0.2157 6.7179
0.2216 6.9309
0.2275 7.1811
0.2335 7.4466
0.2394 7.6954
0.2454 7.8369
0.2513 7.7955
0.2573 7.7270
0.2632 7.6619
0.2691 7.6092
0.2751 7.5707
0.2810 7.5474
0.2870 7.5395
0.2943 7.5520
0.3015 7.5885
0.3088 7.6461
0.3161 7.7195
0.3234 7.7973
0.3306 7.8395
0.3379 7.7300
0.3452 7.4928
0.3525 7.2170
0.3598 6.9283
0.3670 6.6364
0.3743 6.3476
0.3816 6.0672
0.3889 5.8005
0.3962 5.5534
0.4034 5.3330
0.4107 5.1472
0.4180 5.0050
0.4253 4.9151
0.4326 4.8843
0.4385 4.9119
0.4444 4.9924
0.4504 5.1203
0.4563 5.2880
0.4623 5.4876
0.4682 5.7119
0.4742 5.9543
0.4801 6.2094
0.4860 6.4722
0.4920 6.7382
0.4979 7.0032
0.5039 7.2625
0.5098 7.5118
0.5158 7.7268
0.5217 7.9238
0.5277 7.9150
0.5336 7.8632
0.5395 7.8221
0.5455 7.7958
0.5514 7.7867

0.0000 7.5395
0.0042 7.5442
0.0084 7.5583
0.0126 7.5816
0.0168 7.6137
0.0210 7.6542
0.0252 7.7027
0.0294 7.7583
0.0336 7.8202
0.0378 7.8828
0.0420 7.9043
0.0462 7.9594
0.0504 8.0216
0.0546 8.0864
0.0588 8.1515
0.0630 8.2151
0.0672 8.2748
0.0714 8.3279
0.0756 8.3709
0.0799 8.3994
0.0841 8.4094
0.0883 8.4022
0.0925 8.3706
0.0967 8.2977
0.1009 8.1854
0.1051 8.0413
0.1093 7.9486
0.1135 8.0056
0.1177 8.0703
0.1219 8.1421
0.1261 8.2202
0.1303 8.2420
0.1345 8.2150
0.1387 8.1906
0.1429 8.1691
0.1471 8.1507
0.1513 8.1354
0.1555 8.1235
0.1597 8.1150
0.1639 8.1099
0.1681 8.1082
0.1740 8.1116
0.1800 8.1218
0.1859 8.1385
0.1919 8.1614
0.1978 8.1897
0.2038 8.0986
0.2097 7.9477
0.2157 7.8001
0.2216 7.6705
0.2275 7.6002
0.2335 7.6560
0.2394 7.7828
0.2454 7.8390
0.2513 7.7985
0.2573 7.7319
0.2632 7.6696
0.2691 7.6157
0.2751 7.5743
0.2810 7.5484
0.2870 7.5395
0.2943 7.5520
0.3015 7.5885
0.3088 7.6461
0.3161 7.7195
0.3234 7.7973
0.3306 7.8395
0.3379 7.7300
0.3452 7.4928
0.3525 7.2170
0.3598 6.9487
0.3670 6.7314
0.3743 6.4861
0.3816 6.2303
0.3889 5.9729
0.3962 5.7200
0.4034 5.4779
0.4107 5.2552
0.4180 5.0661
0.4253 4.9333
0.4326 4.8843
0.4385 4.9241
0.4444 5.0346
0.4504 5.1970
0.4563 5.3934
0.4623 5.6113
0.4682 5.8425
0.4742 6.0815
0.4801 6.3246
0.4860 6.5690
0.4920 6.8124
0.4979 7.0525
0.5039 7.2869
0.5098 7.5129
0.5158 7.7460
0.5217 7.9596
0.5277 8.0975
0.5336 8.2397
0.5395 8.3412
0.5455 8.3953
0.5514 8.4094

0.0000 8.2866
0.0042 8.2896
0.0084 8.2946
0.0126 8.3045
0.0168 8.3184
0.0210 8.3361
0.0252 8.3576
0.0294 8.2249
0.0336 8.0170
0.0378 7.8874
0.0420 7.9588
0.0462 8.0329
0.0504 8.1081
0.0546 8.1826
0.0588 8.2544
0.0630 8.3211
0.0672 8.3804
0.0714 8.4298
0.0756 8.4670
0.0799 8.4902
0.0841 8.4981
0.0883 8.5008
0.0925 8.4868
0.0967 8.4793
0.1009 8.4577
0.1051 8.4302
0.1093 8.3997
0.1135 8.3675
0.1177 8.3348
0.1219 8.3025
0.1261 8.2714
0.1303 8.3035
0.1345 8.3909
0.1387 8.4805
0.1429 8.5409
0.1471 8.5387
0.1513 8.5359
0.1555 8.5330
0.1597 8.5307
0.1639 8.5291
0.1681 8.5286
0.1740 8.5288
0.1800 8.5185
0.1859 8.4704
0.1919 8.3733
0.1978 8.2439
0.2038 8.2224
0.2097 8.2582
0.2157 8.2949
0.2216 8.3127
0.2275 8.2209
0.2335 8.1378
0.2394 8.0825
0.2454 8.0903
0.2513 8.2323
0.2573 8.3184
0.2632 8.3436
0.2691 8.3190
0.2751 8.3016
0.2810 8.2905
0.2870 8.2866
0.2943 8.2922
0.3015 8.3063
0.3088 8.3194
0.3161 8.3117
0.3234 8.2568
0.3306 8.1452
0.3379 7.9996
0.3452 7.8670
0.3525 7.8122
0.3598 7.8489
0.3670 7.9225
0.3743 7.9931
0.3816 8.0438
0.3889 8.0672
0.3962 8.0602
0.4034 8.0253
0.4107 7.9741
0.4180 7.9234
0.4253 7.8875
0.4326 7.8747
0.4385 7.8833
0.4444 7.9083
0.4504 7.9471
0.4563 7.9952
0.4623 8.0468
0.4682 8.0956
0.4742 8.1355
0.4801 8.1625
0.4860 8.1747
0.4920 8.1717
0.4979 8.1543
0.5039 8.1235
0.5098 8.0809
0.5158 8.0292
0.5217 7.9722
0.5277 8.1467
0.5336 8.3013
0.5395 8.4172
0.5455 8.4891
0.5514 8.4981

