k E
0.4801 -13.4371
0.4860 -13.4395
0.4920 -13.4419
0.4979 -13.4442
0.5039 -13.4465
0.5098 -13.4487
0.5158 -13.4507
0.5217 -13.4524
0.5277 -13.4541
0.5336 -13.4553
0.5395 -13.4562
0.5455 -13.4567
0.5514 -13.4569

0.0000 -13.3805
0.0042 -13.3804
0.0084 -13.3804
0.0126 -13.3805
0.0168 -13.3806
0.0210 -13.3808
0.0252 -13.3808
0.0294 -13.3808
0.0336 -13.3808
0.0378 -13.3810
0.0420 -13.3811
0.0462 -13.3812
0.0504 -13.3813
0.0546 -13.3814
0.0588 -13.3815
0.0630 -13.3815
0.0672 -13.3816
0.0714 -13.3815
0.0756 -13.3817
0.0799 -13.3817
0.0841 -13.3816
0.0883 -13.3817
0.0925 -13.3816
0.0967 -13.3817
0.1009 -13.3816
0.1051 -13.3817
0.1093 -13.3817
0.1135 -13.3817
0.1177 -13.3817
0.1219 -13.3818
0.1261 -13.3818
0.1303 -13.3818
0.1345 -13.3819
0.1387 -13.3819
0.1429 -13.3819
0.1471 -13.3820
0.1513 -13.3820
0.1555 -13.3820
0.1597 -13.3820
0.1639 -13.3820
0.1681 -13.3820
0.1740 -13.3820
0.1800 -13.3820
0.1859 -13.3821
0.1919 -13.3820
0.1978 -13.3818
0.2038 -13.3817
0.2097 -13.3817
0.2157 -13.3816
0.2216 -13.3815
0.2275 -13.3815
0.2335 -13.3815
0.2394 -13.3813
0.2454 -13.3810
0.2513 -13.3809
0.2573 -13.3807
0.2632 -13.3807
0.2691 -13.3806
0.2751 -13.3805
0.2810 -13.3805
0.2870 -13.3805
0.2943 -13.3805
0.3015 -13.3806
0.3088 -13.3806
0.3161 -13.3807
0.3234 -13.3809
0.3306 -13.3811
0.3379 -13.3814
0.3452 -13.3814
0.3525 -13.3815
0.3598 -13.3815
0.3670 -13.3816
0.3743 -13.3818
0.3816 -13.3818
0.3889 -13.3820
0.3962 -13.3820
0.4034 -13.3821
0.4107 -13.3820
0.4180 -13.3821
0.4253 -13.3821
0.4326 -13.3819
0.4385 -13.3819
0.4444 -13.3821
0.4504 -13.3821
0.4563 -13.3821
0.4623 -13.3820
0.4682 -13.3820
0.4742 -13.3820
0.4801 -13.3818
0.4860 -13.3818
0.4920 -13.3819
0.4979 -13.3818
0.5039 -13.3818
0.5098 -13.3817
0.5158 -13.3816
0.5217 -13.3816
0.5277 -13.3817
0.5336 -13.3817
0.5395 -13.3817
0.5455 -13.3817
0.5514 -13.3816

0.0000 -13.3805
0.0042 -13.3804
0.0084 -13.3804
0.0126 -13.3805
0.0168 -13.3806
0.0210 -13.3808
0.0252 -13.3808
0.0294 -13.3808
0.0336 -13.3808
0.0378 -13.3810
0.0420 -13.3811
0.0462 -13.3812
0.0504 -13.3813
0.0546 -13.3814
0.0588 -13.3815
0.0630 -13.3815
0.0672 -13.3816
0.0714 -13.3815
0.0756 -13.3817
0.0799 -13.3817
0.0841 -13.3816
0.0883 -13.3816
0.0925 -13.3816
0.0967 -13.3816
0.1009 -13.3816
0.1051 -13.3817
0.1093 -13.3817
0.1135 -13.3817
0.1177 -13.3816
0.1219 -13.3816
0.1261 -13.3816
0.1303 -13.3816
0.1345 -13.3816
0.1387 -13.3816
0.1429 -13.3815
0.1471 -13.3815
0.1513 -13.3815
0.1555 -13.3815
0.1597 -13.3815
0.1639 -13.3814
0.1681 -13.3814
0.1740 -13.3814
0.1800 -13.3815
0.1859 -13.3815
0.1919 -13.3815
0.1978 -13.3814
0.2038 -13.3813
0.2097 -13.3812
0.2157 -13.3814
0.2216 -13.3813
0.2275 -13.3811
0.2335 -13.3811
0.2394 -13.3810
0.2454 -13.3809
0.2513 -13.3808
0.2573 -13.3806
0.2632 -13.3807
0.2691 -13.3806
0.2751 -13.3805
0.2810 -13.3804
0.2870 -13.3805
0.2943 -13.3805
0.3015 -13.3805
0.3088 -13.3806
0.3161 -13.3806
0.3234 -13.3808
0.3306 -13.3809
0.3379 -13.3812
0.3452 -13.3813
0.3525 -13.3815
0.3598 -13.3815
0.3670 -13.3816
0.3743 -13.3818
0.3816 -13.3818
0.3889 -13.3820
0.3962 -13.3820
0.4034 -13.3820
0.4107 -13.3820
0.4180 -13.3821
0.4253 -13.3819
0.4326 -13.3819
0.4385 -13.3819
0.4444 -13.3820
0.4504 -13.3820
0.4563 -13.3820
0.4623 -13.3819
0.4682 -13.3820
0.4742 -13.3819
0.4801 -13.3817
0.4860 -13.3818
0.4920 -13.3817
0.4979 -13.3817
0.5039 -13.3816
0.5098 -13.3816
0.5158 -13.3816
0.5217 -13.3816
0.5277 -13.3816
0.5336 -13.3816
